rank,country_code,player,points,tournaments,confederation,country
213,FIN,Iikka Heino,6470,10,Europe,Finland
214,AUS,Adam Dolman,6460,10,Oceania,Australia
215,GER,Brian Holtschke,6450,12,Europe,Germany
216,INA,Sulistio Tegar,6430,8,Asia,Indonesia
217,INA,Alfito Pringgo Yudanto,6350,6,Asia,Indonesia
218,DEN,Martin Bundgaard,6340,8,Europe,Denmark
219,MAS,Eveshgaran Vasigaran,6300,7,Asia,Malaysia
220,EST,Karl Kert,6276,17,Europe,Estonia
221,NOR,Markus Barth,6274,11,Europe,Norway
222,MAS,Chua Kim Sheng,6270,6,Asia,Malaysia
223,INA,Panji Ahmad Maulana,6270,4,Asia,Indonesia
224,BRA,Artur Silva Pomoceno,6250,3,Pan America,Brazil
225,FRA,Sacha Leveque,6180,15,Europe,France
226,BRA,Davi Silva,6180,5,Pan America,Brazil
227,IND,Varun Kapur,6170,9,Asia,India
228,JPN,Shota Omoto,6160,4,Asia,Japan
229,FIN,Joonas Korhonen,6080,11,Europe,Finland
230,INA,Alvi Wijaya Chairullah,6020,5,Asia,Indonesia
231,INA,Bodhi Ratana Teja Gotama,6000,8,Asia,Indonesia
232,DEN,Victor Ørding Kauffmann,6000,6,Europe,Denmark
233,AUS,Jacob Schueler,5920,5,Oceania,Australia
234,JPN,Yu Igarashi,5920,3,Asia,Japan
235,INA,Krishna Adi Nugraha,5900,5,Asia,Indonesia
236,ENG,Cholan Kayan,5878,14,Europe,England
237,BUL,Dimitar Yanakiev,5850,11,Europe,Bulgaria
238,INA,Yonathan Ramlie,5823,9,Asia,Indonesia
239,IND,Pranav Rao Gandham,5770,9,Asia,India
240,FRA,Amaury Lievre,5730,11,Europe,France
241,NZL,Abhinav Manota,5700,3,Oceania,New Zealand
242,CHN,Liu Liang,5680,4,Asia,China
243,KOR,Cho Geonyeop,5620,3,Asia,Korea
244,INA,Muhammad Sultan Nurhabibullah Mayang,5600,6,Asia,Indonesia
245,TPE,Yang Yang,5590,10,Asia,Chinese Taipei
246,TUR,Emre Lale,5580,5,Europe,Türkiye
247,UKR,Oleksandar Shmundyak,5560,11,Europe,Ukraine
248,IND,Arunesh Hari,5560,9,Asia,India
249,AUS,Jie Ying Chan,5550,4,Oceania,Australia
250,INA,Muhammad Reza Al Fajri,5410,4,Asia,Indonesia
251,KOR,Lee Yun Gyu,5395,4,Asia,Korea
252,NZL,Ricky Cheng,5360,5,Oceania,New Zealand
253,TPE,Chang Shih-Chieh,5330,4,Asia,Chinese Taipei
254,SRI,Dumindu Abeywickrama,5280,9,Asia,Sri Lanka
255,SWE,Albin Carl Hjelm,5260,10,Europe,Sweden
256,IND,Hemanth M.Gowda,5210,7,Asia,India
257,HKG,Jason Gunawan,5180,7,Asia,Hong Kong China
258,IND,Ravi Ravi,5120,6,Asia,India
259,CAN,Imran Wadia,5100,7,Pan America,Canada
260,EGY,Ahmed Salah,5025,4,Africa,Egypt
261,ALG,Mohamed Abderrahime Belarbi,5022,11,Africa,Algeria
262,MAS,Chia Jeng Hon,4950,6,Asia,Malaysia
263,TPE,Kuo Kuan Lin,4940,4,Asia,Chinese Taipei
264,MAS,Tan Jia Jie,4900,9,Asia,Malaysia
265,IND,Harsheel Dani,4890,8,Asia,India
266,USA,Garret Tan,4860,9,Pan America,U.S.A.
267,MAS,Hooi Shao Herng,4840,7,Asia,Malaysia
268,SRI,Rasindu Hendahewa,4820,11,Asia,Sri Lanka
269,ESP,Alvaro Leal,4820,10,Europe,Spain
270,JPN,Keita Makino,4770,2,Asia,Japan
271,POL,Mateusz Danielak,4710,14,Europe,Poland
272,BUL,Ivan Rusev,4700,11,Europe,Bulgaria
273,FRA,Yanis Gaudin,4680,9,Europe,France
274,ESP,Ernesto Baschwitz,4650,11,Europe,Spain
275,PER,Jose Guevara,4632,8,Pan America,Peru
276,MAS,Yap Juin An,4610,7,Asia,Malaysia
277,UKR,Viacheslav Yakovlev,4600,10,Europe,Ukraine
278,CRO,Luka Ban,4600,8,Europe,Croatia
279,SGP,Ming Hong Lim,4492,8,Asia,Singapore
280,POL,Michal Rogalski,4480,3,Europe,Poland
281,TPE,Lin Yu Hsien,4430,4,Asia,Chinese Taipei
282,SUI,Nicolas A. Mueller,4410,12,Europe,Switzerland
283,KOR,Jung Min Seon,4393,4,Asia,Korea
284,MAS,M Atef Haikal Taufik,4380,7,Asia,Malaysia
285,SRI,Buwaneka Goonethilleka,4380,5,Asia,Sri Lanka
286,IND,Aditya Joshi,4320,2,Asia,India
287,AUS,Athi Selladurai,4280,6,Oceania,Australia
288,IND,Tarun Reddy Katam,4270,5,Asia,India
289,MAS,Lim Chi Wing,4270,3,Asia,Malaysia
290,RSA,Caden Kakora,4258,7,Africa,South Africa
291,ESA,Javier Armando Alas,4250,6,Pan America,El Salvador
292,TPE,Huang Yu Kai,4250,5,Asia,Chinese Taipei
293,FRA,Martin Ouazzen,4240,11,Europe,France
294,SWE,Gustav Bjorkler,4230,9,Europe,Sweden
295,RUS,Georgii Karpov,4190,3,Europe,Russia
296,MRI,Jean Bernard Bongout,4158,6,Africa,Mauritius
297,EGY,Mohamed Mostafa Kamel,4125,4,Africa,Egypt
298,INA,Firman Abdul Kholik,4100,3,Asia,Indonesia
299,POR,Bruno Carvalho,4080,16,Europe,Portugal
300,FRA,Leo Van Gysel,4080,10,Europe,France
301,AUS,Pit Seng Low,4080,5,Oceania,Australia
302,FRA,Tino Daoudal,4060,10,Europe,France
303,AUS,Keith Mark Edison,3990,7,Oceania,Australia
304,BRA,Deivid Silva,3970,5,Pan America,Brazil
305,BRN,Adnan Ebrahim,3930,7,Asia,Bahrain
306,KOR,Park Sang Yong,3880,3,Asia,Korea
307,SWE,Jacob Nilsson,3820,5,Europe,Sweden
308,DEN,Mads Juel Møller,3780,9,Europe,Denmark
309,AUS,Ephraim Stephen Sam,3760,4,Oceania,Australia
310,CAN,Kevin Barkman,3750,11,Pan America,Canada
311,VIE,Le Duc Phat,3740,7,Asia,Vietnam
312,ARG,Santiago Otero,3720,4,Pan America,Argentina
312,TPE,Wang Po-Wei,3720,4,Asia,Chinese Taipei
314,JPN,Keisuke Fujiwara,3720,2,Asia,Japan
315,NZL,Oscar Guo,3710,3,Oceania,New Zealand
316,BEL,Maxime Moreels,3700,3,Europe,Belgium
317,MYA,Phone Pyae Naing,3690,5,Asia,Myanmar
318,GUA,Yeison Esleiter Del Cid Alvarez,3690,4,Pan America,Guatemala
319,JPN,Hikaru Minegishi,3670,3,Asia,Japan
320,MRI,Aatish Lubah,3665,4,Africa,Mauritius
321,RSA,Robert White,3662,5,Africa,South Africa
322,CAN,John Li,3660,9,Pan America,Canada
323,IND,Dhruv Kumar,3620,10,Asia,India
324,PYF,Remi Rossi,3590,9,Oceania,Tahiti
325,CHN,Wang Zheng Xing,3580,3,Asia,China
326,AUS,Kai Chen Teoh,3560,5,Oceania,Australia
327,INA,Jason Christ Alexander,3550,5,Asia,Indonesia
328,USA,Saketh Upadhya,3520,6,Pan America,U.S.A.
329,MAS,Ming Yap Too,3510,6,Asia,Malaysia
330,POR,Duarte Nuno Anjo,3490,5,Europe,Portugal
331,IND,Shreyansh Jaiswal,3490,4,Asia,India
331,IND,Jagadeesh Kalaga,3490,4,Asia,India
333,CRO,Filip Spoljarec,3450,9,Europe,Croatia
334,ARG,Nicolas Oliva,3420,5,Pan America,Argentina
335,IND,B.M.Rahul Bharadwaj,3400,5,Asia,India
336,ENG,Heng Lin Ngan,3370,10,Europe,England
337,IND,Sai Charan Koya,3370,9,Asia,India
338,AUS,Ying Xiang Lin,3370,3,Oceania,Australia
339,IND,Kartik Jindal,3360,3,Asia,India
340,DEN,Axel Henrik Parkhøi,3350,7,Europe,Denmark
341,TTO,Nicholas Bonkowsky,3350,6,Pan America,Trinidad & Tobago
342,MAS,Teh Jin Hong,3320,11,Asia,Malaysia
343,TPE,Lu Wei Hsuan,3310,4,Asia,Chinese Taipei
344,IND,Tukum Laa,3300,4,Asia,India
345,MRI,Melvin Appiah,3275,5,Africa,Mauritius
346,POL,Mikolaj Szymanowski,3261,10,Europe,Poland
347,JAM,Samuel O’Brien Ricketts,3240,4,Pan America,Jamaica
348,ENG,Larry Pong,3240,3,Europe,England
349,SLO,Andraz Krapez,3230,13,Europe,Slovenia
350,MLT,Samuel Cassar,3210,12,Europe,Malta
351,DEN,Mads Thøgersen,3200,7,Europe,Denmark
352,TPE,Wu Cheng-En,3200,4,Asia,Chinese Taipei
353,HKG,Wong Wing Ki Vincent,3200,1,Asia,Hong Kong China
354,IND,Abhishek Saini,3190,4,Asia,India
355,IND,Talar Laa,3170,3,Asia,India
356,IND,Arya Bhivpathaki,3160,4,Asia,India
357,NED,Dennis Koppen,3150,11,Europe,Netherlands
