rank,country_code,player,points,tournaments,confederation,country
916,BAR,Shae Michael Martin,380,2,Pan America,Barbados
916,MEX,Cesar Franco Murgia,380,2,Pan America,Mexico
916,MAS,Matthew Shankar Teoh,380,2,Asia,Malaysia
916,MEX,Carlos Jaramillo,380,2,Pan America,Mexico
916,MAS,"Darrell, Sen Xian Chew",380,2,Asia,Malaysia
916,MAS,Anson Cheong,380,2,Asia,Malaysia
924,POL,Aleksander Dzwonnik,370,7,Europe,Poland
925,NED,Thomas Sibbald,370,5,Europe,Netherlands
926,NED,Lars Kros,370,3,Europe,Netherlands
926,PAR,Alejandro Àvalos,370,3,Pan America,Paraguay
928,MLT,Matthew Galea,370,2,Europe,Malta
929,SLO,Maj Poboljšaj,360,8,Europe,Slovenia
930,ZIM,Tanaka Muvavi,360,2,Africa,Zimbabwe
930,ISR,Shawn Grinblat,360,2,Europe,Israel
932,IRI,Hasan Motaghi,360,1,Asia,Iran
932,IRI,Amir Ghasemi,360,1,Asia,Iran
932,IRI,Farzin Khanjani,360,1,Asia,Iran
932,NZL,Kai Yi Lim,360,1,Oceania,New Zealand
932,IRI,Seyed Armin Zaki Zadeh,360,1,Asia,Iran
932,NZL,Daniel Hillier,360,1,Oceania,New Zealand
932,MGL,Khuvituguldur Byambajav,360,1,Asia,Mongolia
932,NZL,Andrew Rouse,360,1,Oceania,New Zealand
932,IRQ,Husam Alnaies,360,1,Asia,Iraq
932,DEN,Mikkel Enghøj,360,1,Europe,Denmark
932,IRQ,Ali Neamah,360,1,Asia,Iraq
932,NZL,Jasmanjot Virk,360,1,Oceania,New Zealand
932,MGL,Olonbayar Enkhbat,360,1,Asia,Mongolia
932,IRI,Mohamad Pairavand,360,1,Asia,Iran
932,UGA,Augustus Owinyi,360,1,Africa,Uganda
932,SEY,Jie Luo,360,1,Africa,Seychelles
932,NEP,Prince Dahal,360,1,Asia,Nepal
932,IRI,Mohsen Masoumitabarzanjani,360,1,Asia,Iran
932,SEY,Jakim Renaud,360,1,Africa,Seychelles
932,PER,Sharum Durand Cardenas,360,1,Pan America,Peru
932,MGL,Sumiyasuren Enkhbat,360,1,Asia,Mongolia
932,THA,Surasit Ariyabaraneekul,360,1,Asia,Thailand
932,IRI,Mohammad Ali Faghih Khorasani,360,1,Asia,Iran
932,IRI,Mohammad Zarchi,360,1,Asia,Iran
932,AUS,Matthew Kong,360,1,Oceania,Australia
932,AUS,Keng Hooi Tan,360,1,Oceania,Australia
932,IND,Sasi Kumar Raj Kumar,360,1,Asia,India
932,CAN,Joseph Lu,360,1,Pan America,Canada
932,UKR,Danylo Shevchuk,360,1,Europe,Ukraine
932,IRQ,Mohammed Qusay,360,1,Asia,Iraq
932,IRI,Kambiz Bedroodshahdi,360,1,Asia,Iran
932,FIJ,Jared Chung,360,1,Oceania,Fiji
932,IRQ,Karrar Hussein,360,1,Asia,Iraq
932,IND,Priyansh Khushwani,360,1,Asia,India
932,BAN,Shahed Ahmed,360,1,Asia,Bangladesh
932,UKR,Oleksii Syrytsia,360,1,Europe,Ukraine
932,UKR,Taras Nehar,360,1,Europe,Ukraine
932,UKR,Ihor Sienichkyn,360,1,Europe,Ukraine
932,IRQ,Amer Awad,360,1,Asia,Iraq
932,IRI,Soroush Freydouni,360,1,Asia,Iran
932,IRI,Mohammadamin Mohammadjani,360,1,Asia,Iran
932,IRI,Armin Barzandeh,360,1,Asia,Iran
932,IRI,Amirreza Bayani,360,1,Asia,Iran
932,IRI,Masoud Mohsenpour,360,1,Asia,Iran
932,AUS,Aryan Jhade,360,1,Oceania,Australia
932,AUS,Ohmkkar Neelam,360,1,Oceania,Australia
932,AUS,Cade Elliott,360,1,Oceania,Australia
932,AUS,Frederick Zhao,360,1,Oceania,Australia
932,REU,Thibaud Cougouille,360,1,Africa,Ligue Nouvelle Badminton REUNION
932,MRI,Siow Yin Young Aidan Yu Kiat,360,1,Africa,Mauritius
932,MAD,Ranaivolala Eugelot,360,1,Africa,Madagascar
932,MGL,Yesun- Erdene Munkhbaatar,360,1,Asia,Mongolia
932,AUS,Shaun Li,360,1,Oceania,Australia
932,AUS,Wey Shawn Ng,360,1,Oceania,Australia
932,AUS,Wilson Li,360,1,Oceania,Australia
932,AUS,Alan Martin,360,1,Oceania,Australia
932,MAS,Lincoln Isaac Shim,360,1,Asia,Malaysia
932,AUS,Evan Rusli,360,1,Oceania,Australia
932,AUS,Harith Jayasuriya,360,1,Oceania,Australia
932,AUS,Nils Vercruysse,360,1,Oceania,Australia
932,IND,Anirban Bhattacharjee,360,1,Asia,India
932,MDV,Abdul Samad Mohamed Saalim,360,1,Asia,Maldives
932,MDV,Ismail Nabith Ibrahim,360,1,Asia,Maldives
932,MDV,Ibrahim Rabeeth,360,1,Asia,Maldives
932,MDV,Ahmed Saadhin Jaleel,360,1,Asia,Maldives
932,MDV,Hassan Zayan,360,1,Asia,Maldives
932,SRI,Chamath Dias,360,1,Asia,Sri Lanka
932,MDV,Abdul Latheef Gasim Liyah,360,1,Asia,Maldives
932,NZL,Jack Ji,360,1,Oceania,New Zealand
932,WAL,Mebel Mano Kurian,360,1,Europe,Wales
932,CAN,Benoit Bordeleau,360,1,Pan America,Canada
932,CAN,Hooman Bagheri,360,1,Pan America,Canada
932,CAN,Ethan Ao Jun Chan,360,1,Pan America,Canada
932,CAN,Yufei Zhai,360,1,Pan America,Canada
932,CAN,Rayce Su,360,1,Pan America,Canada
932,CAN,Oliver Chen,360,1,Pan America,Canada
932,MAS,Muhammad Adam,360,1,Asia,Malaysia
1009,SVK,Marian Liptak,350,7,Europe,Slovakia
1010,ENG,Ben Muir,350,4,Europe,England
1010,HUN,Balint Papai,350,4,Europe,Hungary
1012,FIN,Tony Lindelöf,350,3,Europe,Finland
1013,MEX,Mauricio Casillas,350,1,Pan America,Mexico
1013,BOT,Tumisang Olekantse,350,1,Africa,Botswana
1013,BOT,Tlamelang Kepaletswe,350,1,Africa,Botswana
1013,BOT,Otsile Marumo,350,1,Africa,Botswana
1013,BOT,Perekisi Tshepo,350,1,Africa,Botswana
1013,SWE,Andy Tsai,350,1,Europe,Sweden
1013,NGR,Jafar Salihu Umar,350,1,Africa,Nigeria
1013,ISR,Ami Abekasis,350,1,Europe,Israel
1013,ZAM,Mark Banda,350,1,Africa,Zambia
1013,BEN,Senakpon Carlos Bossouvi,350,1,Africa,Benin
1013,BEN,Gbenoukpo Sebastiano Degbe,350,1,Africa,Benin
1013,ZAM,Hassani D Phiri,350,1,Africa,Zambia
1013,ZAM,Andrew Mumba,350,1,Africa,Zambia
1013,BEN,Tobiloba Oyewole,350,1,Africa,Benin
1013,ISR,Ofir Belenki,350,1,Europe,Israel
1013,ISR,Stav Peleg,350,1,Europe,Israel
1013,BEN,Gedeon Montcho,350,1,Africa,Benin
1013,MEX,Saul Solis,350,1,Pan America,Mexico
1013,PAR,Julio Cesar Gonzalez Vera,350,1,Pan America,Paraguay
1013,ZAM,Fred Simabambaya,350,1,Africa,Zambia
1013,RSA,Ryan Armand Swart,350,1,Africa,South Africa
1013,BEN,Jean-Marc Vianney Agossouwi,350,1,Africa,Benin
1013,USA,Erwin Sarmiento,350,1,Pan America,U.S.A.
1013,ZAM,Poho Kaumba,350,1,Africa,Zambia
1013,ZAM,Mike Maseko,350,1,Africa,Zambia
1013,BEN,Henri Joel Komadadi,350,1,Africa,Benin
1013,BEN,Julien Wadoud Totin,350,1,Africa,Benin
1013,ISR,Mark Aronchik,350,1,Europe,Israel
1013,ESA,Josué Duran,350,1,Pan America,El Salvador
1013,BEN,Jaures Badou,350,1,Africa,Benin
1013,BEN,Peniel Degnon De-Dravo,350,1,Africa,Benin
1013,MEX,Andres Gonzalez Sañudo,350,1,Pan America,Mexico
1013,MEX,Santiago Lozoya,350,1,Pan America,Mexico
1013,ISR,Dor Shani,350,1,Europe,Israel
1013,ISR,Sharon Perelshtein,350,1,Europe,Israel
1013,ISR,David Pupko,350,1,Europe,Israel
1013,ISR,Adam Travinskiy,350,1,Europe,Israel
1013,ISR,Guy Blumenreich,350,1,Europe,Israel
1013,GUA,Alessandro Anguiano Gonzalez,350,1,Pan America,Guatemala
1013,ZAM,Kenny Chisi,350,1,Africa,Zambia
1013,ZAM,Owei Mbole,350,1,Africa,Zambia
1013,ZAM,Peter Poho,350,1,Africa,Zambia
1013,BOT,Mishingo Meshack Keokilwe,350,1,Africa,Botswana
1013,ZIM,Trinity Chipumho,350,1,Africa,Zimbabwe
1013,TPE,Yu Hsiang Lin,350,1,Asia,Chinese Taipei
1013,TPE,Lu Cheng-Che,350,1,Asia,Chinese Taipei
1013,TPE,Yu Yen Cheng,350,1,Asia,Chinese Taipei
1060,IND,Vaibhav Jadhav,340,3,Asia,India
1061,IND,Arintap Das Gupta,340,2,Asia,India
1061,DEN,Mads Emil Monke,340,2,Europe,Denmark
1061,ENG,Charlie Castle,340,2,Europe,England
1064,SWE,Andre Irpola,330,6,Europe,Sweden
1065,SLO,Gregor Alič,320,10,Europe,Slovenia
1066,ENG,Joseph Waugh,320,9,Europe,England
1067,SRB,Sergej Lukic,320,4,Europe,Serbia
1068,AUS,Michael Su,320,1,Oceania,Australia
1069,POR,Pedro Portelas,310,6,Europe,Portugal
1070,FIN,Aleksi Mäki,310,4,Europe,Finland
1071,IND,Gopal Krishna Reddy Dundi,310,3,Asia,India
1071,UAE,Aakash Ravikumar,310,3,Asia,UNITED ARAB EMIRATES
1071,IND,Sidhant Chopra,310,3,Asia,India
1071,IND,Rajesh Srikar,310,3,Asia,India
1071,IND,Sohit Hooda,310,3,Asia,India
1071,IND,Harsh Anand Deshwal,310,3,Asia,India
1071,NZL,Avinash Shastri,310,3,Oceania,New Zealand
1078,SUI,Lorrain Joliat,310,2,Europe,Switzerland
1079,AUT,Kilian Meusburger,300,7,Europe,Austria
1080,NOR,Ludvig Smith-Meyer,300,5,Europe,Norway
1081,MYA,Min Htet Kaung,300,2,Asia,Myanmar
1082,EGY,Omar Emad,290,3,Africa,Egypt
1083,DEN,Mathias Solgaard,280,4,Europe,Denmark
1084,IND,Venkata Uneeth Krishna Bhimavarapu,270,5,Asia,India
1085,SCO,Joshua Apiliga,270,3,Europe,Scotland
1086,GER,Saruul Shafiq,270,2,Europe,Germany
1086,MEX,Marco Antonio Ornelas Rodarte,270,2,Pan America,Mexico
1086,POL,Bartosz Krajewski,270,2,Europe,Poland
1086,DEN,Sebastian Lassen Nielsen,270,2,Europe,Denmark
1086,BRU,Kah Kit Kan,270,2,Asia,Brunei Darussalam
1086,BRN,Yusuf Almutawa,270,2,Asia,Bahrain
1092,SWE,Mitchell Maynard,260,4,Europe,Sweden
1093,BEL,Adrien Slegers,250,6,Europe,Belgium
1093,NED,Jasper Koppen,250,6,Europe,Netherlands
1095,UKR,Volodymyr Koluzaiev,250,5,Europe,Ukraine
1095,SWE,Carl Claesson,250,5,Europe,Sweden
1097,CYP,Aris Kattirtzi,250,4,Europe,Cyprus
1098,MAS,Tan Ming Kang,250,2,Asia,Malaysia
1099,FIN,Eliel Melleri,240,4,Europe,Finland
1099,ITA,Alessandro Gozzini,240,4,Europe,Italy
1101,IND,Ajay Meena,240,2,Asia,India
1101,IND,Mukul Arora,240,2,Asia,India
1101,IND,Mokshit Porwal,240,2,Asia,India
1101,IND,Siddhartha Das,240,2,Asia,India
1101,IND,Vishesh Sharma,240,2,Asia,India
1106,VIE,Hoang Kha Tran,240,1,Asia,Vietnam
1107,POR,David Silva,230,5,Europe,Portugal
1108,ITA,Calle Fredholm,230,4,Europe,Italy
1109,NOR,Mattias Xu,230,2,Europe,Norway
1109,GEQ,José Luis Nsogo Nguema,230,2,Africa,EQUATORIAL GUINEA
1109,GEQ,Benjamin Igor Olo Angono,230,2,Africa,EQUATORIAL GUINEA
1112,CZE,Pavel Maňásek,220,5,Europe,Czech Republic
1113,GER,Hendrik Stagge,210,6,Europe,Germany
1114,ENG,Hugo Jardim,210,4,Europe,England
1114,IRL,Adam Mcallister,210,4,Europe,Ireland
1114,POR,Diogo Gloria,210,4,Europe,Portugal
1114,SVK,Sebastian Kadlec,210,4,Europe,Slovakia
1118,IND,Nikhil Jangid,210,3,Asia,India
1118,IND,Rajesh Verma,210,3,Asia,India
1118,IND,Akul Chauhan,210,3,Asia,India
1118,DEN,Sebastian Mikkelsen,210,3,Europe,Denmark
1122,POL,Jan Wilczak,210,2,Europe,Poland
1122,ENG,Michael Pang,210,2,Europe,England
1124,CMR,Landry Menguele,210,1,Africa,Cameroon
1124,KOR,Lee Hong Je,210,1,Asia,Korea
1124,VIE,Duy Nam Le,210,1,Asia,Vietnam
1124,PHI,Oba-Ob Rabbie Jayson,210,1,Asia,Philippines
1124,KOR,Lee Sang Ho,210,1,Asia,Korea
1124,KOR,Son Seong Hyun,210,1,Asia,Korea
1124,CHI,Fernando Sanhueza,210,1,Pan America,Chile
1124,EGY,Mohamed Toson,210,1,Africa,Egypt
1124,CMR,Pierre Frederic Bitep,210,1,Africa,Cameroon
1124,FIJ,Chang Ho Kim,210,1,Oceania,Fiji
1124,SWE,August Bjorkler,210,1,Europe,Sweden
1124,KAZ,Andrey Shalagin,210,1,Asia,Kazakhstan
1124,MEX,Hiram Gabriel Mendoza Arredondo,210,1,Pan America,Mexico
1124,MEX,Santiago Loza Vega,210,1,Pan America,Mexico
1124,ENG,Kaylan Jensen,210,1,Europe,England
1124,THA,Andrew Peter Newman,210,1,Asia,Thailand
1124,AUS,Ashwin Gopalan Nair,210,1,Oceania,Australia
1124,USA,Andrew Tan,210,1,Pan America,U.S.A.
1124,USA,Rylan Tan,210,1,Pan America,U.S.A.
1124,DOM,Kael Anselmo Sosa Espinosa,210,1,Pan America,Dominican Republic
1124,MEX,Irving Perez,210,1,Pan America,Mexico
1124,CRC,Diego Hurtado,210,1,Pan America,Costa Rica
1124,CAN,Shubh Krishan,210,1,Pan America,Canada
1124,CHI,Bahamondez Benjamin,210,1,Pan America,Chile
1124,CHI,Monne Nicolas,210,1,Pan America,Chile
1124,CMR,Paul Christ Assembe Voundi,210,1,Africa,Cameroon
1124,THA,Sarun Rukcharoen,210,1,Asia,Thailand
1124,EGY,Mohamed Hegazy,210,1,Africa,Egypt
1124,KOR,Park Joon Hyeok,210,1,Asia,Korea
1124,THA,Utchan Ruaysap,210,1,Asia,Thailand
1124,MYA,Hein Kaung San,210,1,Asia,Myanmar
1124,VIE,Thanh Long Vu,210,1,Asia,Vietnam
1124,THA,Phitikamon Phankaew,210,1,Asia,Thailand
1124,BRN,Vishal Pereira,210,1,Asia,Bahrain
1158,LUX,Leo Hölzmer,200,7,Europe,Luxembourg
1159,POL,Michal Walentek,200,6,Europe,Poland
1160,LUX,Kevin Hargiono,200,5,Europe,Luxembourg
1161,FRA,Matteo Justel,200,3,Europe,France
1162,HUN,Zoltan Kereszti,190,7,Europe,Hungary
1163,TPE,Kuo Li-Chun,190,2,Asia,Chinese Taipei
1163,SCO,Sen Thomas,190,2,Europe,Scotland
1165,SWE,Jesper Borgstedt,180,3,Europe,Sweden
1166,AUT,Christian Tomic,170,7,Europe,Austria
1167,SCO,Shaun Ally Aamir,170,6,Europe,Scotland
1168,CRO,Ivor Zekan,170,5,Europe,Croatia
1169,NOR,Thomas Barth,170,4,Europe,Norway
1170,WAL,Man Yin Leung,170,3,Europe,Wales
1171,NED,Niels Veenstra,170,2,Europe,Netherlands
1171,SWE,Emil Söderdahl,170,2,Europe,Sweden
1171,BEL,Baptiste Rolin,170,2,Europe,Belgium
1174,MDV,Nasheeu Sharafuddeen,170,1,Asia,Maldives
1174,IRL,David Walsh,170,1,Europe,Ireland
1174,REU,Loic Bertil,170,1,Africa,Ligue Nouvelle Badminton REUNION
1174,ENG,Ethan Rose,170,1,Europe,England
1174,UKR,Yevhenii Stolovoi,170,1,Europe,Ukraine
1174,MRI,Yajnesh Anand Changea,170,1,Africa,Mauritius
1174,ENG,Jamie Pearcy,170,1,Europe,England
1174,MDV,Mohamed Rafaah,170,1,Asia,Maldives
1174,BAN,Syed Saker Mohammad Sibgat Ullah,170,1,Asia,Bangladesh
1174,UGA,Ahmed Oduka,170,1,Africa,Uganda
1174,CAN,Xavier Laperriere,170,1,Pan America,Canada
1174,THA,Panukorn Nimitpornchai,170,1,Asia,Thailand
1174,UGA,Abdul Hirya,170,1,Africa,Uganda
1174,UGA,Eli Kerolam,170,1,Africa,Uganda
1174,UGA,Dennis Omara,170,1,Africa,Uganda
1174,UKR,Nikita Yeromenko,170,1,Europe,Ukraine
1174,UKR,Volodymyr Repiakh,170,1,Europe,Ukraine
1174,UKR,Petro Takalo,170,1,Europe,Ukraine
1174,UKR,Hlib Derevianko,170,1,Europe,Ukraine
1174,IND,Ansh Vishal Gupta,170,1,Asia,India
1174,UKR,Serhii Dashchenko,170,1,Europe,Ukraine
1174,UKR,Mykola Postol,170,1,Europe,Ukraine
1174,UKR,Dmytro Shcherbatiuk,170,1,Europe,Ukraine
1174,IRI,Arshia Amalkonande,170,1,Asia,Iran
1174,MRI,Mohammad Rayan Shanawaz Rezah Emamdhully,170,1,Africa,Mauritius
1174,UGA,Mohammad Walugembe,170,1,Africa,Uganda
1174,POL,Igor Jasek,170,1,Europe,Poland
1174,FRA,Romain Youinou,170,1,Europe,France
1174,REU,Hugo Constans,170,1,Africa,Ligue Nouvelle Badminton REUNION
1174,MAD,Randrianantenaina Sitraka Jean Baptiste,170,1,Africa,Madagascar
1174,MRI,Savoo Tejas,170,1,Africa,Mauritius
1174,AUS,Kah Wei Tan,170,1,Oceania,Australia
1174,MDV,Mohamed Udhaish Ahmed Shareef,170,1,Asia,Maldives
1174,MDV,Azhar Mohamed Ayyoob,170,1,Asia,Maldives
1174,MDV,Abdul Rasheed Aseel,170,1,Asia,Maldives
1174,MDV,Yoosuf Munadhie Mathloob,170,1,Asia,Maldives
1174,MDV,Mohamed Adeem Adam,170,1,Asia,Maldives
1174,MDV,Ahmed Daniel Ashraf,170,1,Asia,Maldives
1174,MDV,Mohamed Maailu Fathuhulla Ismail,170,1,Asia,Maldives
1174,NED,Rakesh Sharma,170,1,Europe,Netherlands
1174,ENG,Ka Wai Ng,170,1,Europe,England
1174,ENG,Dillon Chong,170,1,Europe,England
1174,CAN,Saket Thavanani,170,1,Pan America,Canada
1174,CAN,Jerry Yin,170,1,Pan America,Canada
1174,CAN,Connor Louie,170,1,Pan America,Canada
1174,CAN,Arpitraj Rajesh Kumar Sinha,170,1,Pan America,Canada
1174,CAN,Sahil Sahil,170,1,Pan America,Canada
1174,CAN,Arnav Lokhande,170,1,Pan America,Canada
1174,CAN,Anton Angeles,170,1,Pan America,Canada
1174,CAN,Nicholas Lai-Cheong,170,1,Pan America,Canada
1174,CAN,Felix Dong Sun,170,1,Pan America,Canada
1174,SGP,Ho Yu Feng Julian,170,1,Asia,Singapore
1174,MAS,Ting Wen Xuan,170,1,Asia,Malaysia
1227,MEX,Jose Manuel Jaime Magaña,160,2,Pan America,Mexico
1228,HUN,Adam Konczol,150,5,Europe,Hungary
1229,POL,Szymon Stokfisz,150,4,Europe,Poland
1230,UKR,Yegor Romaniuk,150,3,Europe,Ukraine
1231,ISL,Robert Thor Henn,150,2,Europe,Iceland
1231,MLT,Isaac Ellul,150,2,Europe,Malta
1233,CZE,Tadeáš Brázda,140,5,Europe,Czech Republic
1233,IRL,Sean Laureta,140,5,Europe,Ireland
1233,SWE,Max Svensson,140,5,Europe,Sweden
1236,HUN,Kristof Toth,140,3,Europe,Hungary
1237,IND,Siddharth Jakhar,140,2,Asia,India
1237,IND,Nikhil Shyam Sriram,140,2,Asia,India
1237,IND,Thejas Shivakumar,140,2,Asia,India
1237,IND,Harshal Bhoyar,140,2,Asia,India
1237,IND,Irvin Arokia Walter,140,2,Asia,India
1237,IND,Murali Krishna Kannuri,140,2,Asia,India
1237,MAS,Tan Jun Yi,140,2,Asia,Malaysia
1237,FIN,Safin Emran,140,2,Europe,Finland
1245,AUT,Michael Schausberger,130,5,Europe,Austria
1246,LAT,Arturs Akmens,130,4,Europe,Latvia
1246,ISL,Gabriel Ingi Helgason,130,4,Europe,Iceland
1248,KAZ,Makhsut Tadzhibullaev,130,2,Asia,Kazakhstan
1248,FRA,Robinson Coube,130,2,Europe,France
1250,BOT,Adams Ntungamili,130,1,Africa,Botswana
1250,GRE,Georgios Orfeas Tsamousiadis,130,1,Europe,Greece
1250,BOT,Batanani Bongani Oboletse,130,1,Africa,Botswana
1250,SVK,Andrej Antoska,130,1,Europe,Slovakia
1250,NGR,Adeogun Gbolahan Ajose,130,1,Africa,Nigeria
1250,BOT,Kao Gee-Q Gobe Mokgatle,130,1,Africa,Botswana
1250,BOT,Amord Sepela,130,1,Africa,Botswana
1250,BEN,Romeo Hambada,130,1,Africa,Benin
1250,FRA,Theo Lanier,130,1,Europe,France
1250,ESP,Daniel Franco,130,1,Europe,Spain
1250,ESP,Miguel Esteve,130,1,Europe,Spain
1250,PAR,Kevin Chen,130,1,Pan America,Paraguay
1250,MEX,Leonardo Ramirez Lopez,130,1,Pan America,Mexico
1250,MEX,Alberto Rodriguez,130,1,Pan America,Mexico
1250,NGR,Mustapha Quam Adedeji,130,1,Africa,Nigeria
1250,NGR,Joseph Abel,130,1,Africa,Nigeria
1250,BUR,Ali Kaboré,130,1,Africa,BUR Burkina Faso
1250,NGR,Daniel Christopher Egbonyi,130,1,Africa,Nigeria
1250,FRA,Loan Peillet,130,1,Europe,France
1250,ISR,Shon Leitman,130,1,Europe,Israel
1250,ZIM,Jayesh Milind Khamkar,130,1,Africa,Zimbabwe
1250,ZAM,Ephraim Mwale,130,1,Africa,Zambia
1250,JPN,Daigo Tanioka,130,1,Asia,Japan
1250,BOT,Laone Mogopa,130,1,Africa,Botswana
1250,BOT,Batsho Kgakishi,130,1,Africa,Botswana
1250,RSA,Mohmed Sufiyan Malik,130,1,Africa,South Africa
1250,SUI,Keishin Rimmer,130,1,Europe,Switzerland
1250,ITA,Simone Piccinin,130,1,Europe,Italy
1278,ISL,Daniel Johannesson,120,3,Europe,Iceland
1279,NED,Timo Stoffelen,120,2,Europe,Netherlands
1279,GER,Bennet Peters,120,2,Europe,Germany
1281,AUT,Emil Dantler,110,4,Europe,Austria
1281,NED,Rune Van Dalm,110,4,Europe,Netherlands
1283,SCO,Jake Thomas,110,3,Europe,Scotland
1283,FIN,Niilo Nyqvist,110,3,Europe,Finland
1283,SUI,Dominik Tripet,110,3,Europe,Switzerland
1286,POL,Piotr Krajewski,110,2,Europe,Poland
1286,EST,Rannar Zirk,110,2,Europe,Estonia
1286,SUI,Arthur Boudier,110,2,Europe,Switzerland
1286,UKR,Yehor Leontyev,110,2,Europe,Ukraine
1286,POL,Adrian Koc,110,2,Europe,Poland
1286,NED,Dennis Eversdijk,110,2,Europe,Netherlands
1292,CRO,Edvin Hadžihalilović,100,5,Europe,Croatia
1293,DEN,Oliver Lee Nowak,100,3,Europe,Denmark
1293,HUN,Marton Szerecz,100,3,Europe,Hungary
1293,BUL,Evgeni Uzunov,100,3,Europe,Bulgaria
1296,LAT,Andis Berzins,100,2,Europe,Latvia
1297,KOR,Ha Young Woong,100,1,Asia,Korea
1297,DOM,Miguel Marinez,100,1,Pan America,Dominican Republic
1297,JOR,Ayham Abd Eleddin,100,1,Asia,Jordan
1297,NOR,Carl Christian Møller,100,1,Europe,Norway
1297,DOM,Bryan Anderson Castro,100,1,Pan America,Dominican Republic
1297,COD,Mutombo Tshizanga,100,1,Africa,DEMOCRATIC REPUBLIC OF CONGO
1297,AUT,Philipp Drexler,100,1,Europe,Austria
1297,EGY,John Riad,100,1,Africa,Egypt
1297,DOM,Anderson Taveras,100,1,Pan America,Dominican Republic
1297,DEN,Andreas Fleischer,100,1,Europe,Denmark
1297,EGY,Basel Hesham Mohamed Ibrahim,100,1,Africa,Egypt
1297,EGY,Omar Ezzat Abelrahim Mohamed,100,1,Africa,Egypt
1297,VIE,Quoc Huy Nguyen,100,1,Asia,Vietnam
1297,THA,Worapat Surakkhaka,100,1,Asia,Thailand
1297,FRA,Dimitri Jacquart,100,1,Europe,France
1297,IND,Lauhit Pokuri,100,1,Asia,India
1297,VEN,Joiser Calanche,100,1,Pan America,Venezuela
1297,MEX,Carlos Covarrubias Martinez,100,1,Pan America,Mexico
1297,ARU,Lu Mackie,100,1,Pan America,Aruba
1297,JOR,Izzeldeen Abuarrah,100,1,Asia,Jordan
1297,DOM,Daiverson Pereira,100,1,Pan America,Dominican Republic
1297,DOM,Sahyr Manuel Lora Garcia,100,1,Pan America,Dominican Republic
1297,DOM,Johan Manuel Rijo,100,1,Pan America,Dominican Republic
1297,GER,Jonas Scheller,100,1,Europe,Germany
1297,CAF,Louidou De Lellis Gbate-Malo,100,1,Africa,CENTRAL AFRICAN Republic
1297,EST,Mario Kirisma,100,1,Europe,Estonia
1297,MEX,José Miguel Galindo,100,1,Pan America,Mexico
1297,POL,Dawid Perkowski,100,1,Europe,Poland
1297,JOR,Qusai Althawahreh,100,1,Asia,Jordan
1297,JOR,Saif Abu Eid,100,1,Asia,Jordan
1297,CRC,Johan Jiménez,100,1,Pan America,Costa Rica
1297,DOM,Angel Luis Rosario,100,1,Pan America,Dominican Republic
1297,ARU,Jonah Arthur Tromp,100,1,Pan America,Aruba
1297,MEX,Daniel Salazar,100,1,Pan America,Mexico
1297,MEX,Sergio Sergeevich Arias Tsarkova,100,1,Pan America,Mexico
1297,MEX,Juan Pablo Jimenez Romero,100,1,Pan America,Mexico
1297,MEX,Maximiliano Peregrina Torres,100,1,Pan America,Mexico
1297,MEX,Landon Ortiz,100,1,Pan America,Mexico
1297,MEX,Juan Pablo Montoya,100,1,Pan America,Mexico
1297,CRC,Ethan Jiménez,100,1,Pan America,Costa Rica
1297,USA,Patrick Chi,100,1,Pan America,U.S.A.
1297,DOM,Luis Rodriguez,100,1,Pan America,Dominican Republic
1297,GEQ,Jesus Ngua Esawong Belica,100,1,Africa,EQUATORIAL GUINEA
1297,CAF,Vincent-Parfait Inhoul-Ouahally,100,1,Africa,CENTRAL AFRICAN Republic
1297,CAF,Saint Cyr Nganabeame,100,1,Africa,CENTRAL AFRICAN Republic
1297,CZE,Daniel Dvořák,100,1,Europe,Czech Republic
1297,POL,Mateusz Golas,100,1,Europe,Poland
1297,VIE,Nhat Hoang Dinh,100,1,Asia,Vietnam
1297,AUS,Phillip Halim,100,1,Oceania,Australia
1297,AUS,Jason Hong,100,1,Oceania,Australia
1297,NZL,Raphael Deloy,100,1,Oceania,New Zealand
1297,EGY,Omar Shater,100,1,Africa,Egypt
1297,EGY,Moaz Hesham Hassan,100,1,Africa,Egypt
1297,EGY,Youssif Mohamed,100,1,Africa,Egypt
1297,EGY,Seif Omar,100,1,Africa,Egypt
1297,CZE,Patrik Hrazdíra,100,1,Europe,Czech Republic
1297,VIE,Minh Thai Le,100,1,Asia,Vietnam
1297,VIE,Tien Dat Nguyen,100,1,Asia,Vietnam
1297,THA,Thiti Kokilawatee,100,1,Asia,Thailand
1297,VIE,Quang Huy Dong,100,1,Asia,Vietnam
1297,LAO,Phonesack Sokthavy,100,1,Asia,Lao
1297,VIE,Viet Nhan Nguyen,100,1,Asia,Vietnam
1297,PHI,Lance Gabriel Vargas,100,1,Asia,Philippines
1297,KOR,Kim Min Jae,100,1,Asia,Korea
1297,VIE,Duc Bao Ta,100,1,Asia,Vietnam
1297,VIE,Duc Truong Ngo,100,1,Asia,Vietnam
1297,VIE,Nam Khanh Bui,100,1,Asia,Vietnam
1297,VIE,Hoai Nam Nguyen,100,1,Asia,Vietnam
1297,VIE,Van Sang Nguyen,100,1,Asia,Vietnam
1297,BRN,Nasser Alnakkas,100,1,Asia,Bahrain
1297,KSA,Abdullah Aldawsari,100,1,Asia,SAUDI ARABIA
